id,mat_id,name,category,category_full,rho_bulk,rho_min,rho_max,rho_vib,rho_sc_tm3,flowability,flowability_raw,angle_repose,angle_surcharge,angle_internal_friction,wall_friction_deg,cohesion,bridging_risk,flow_regime,moisture_pct,temp_max,abr_code,abr_text,particle_class,size_code,particle_size_mm,Leq_default,Ceff_default,vfi,bucket_fill_factor,stream_spread_factor,Km,hazard_codes,lambda_ref,fill_max,cema_cls,cema_code,flags,confidence,source,note,app,custom
1,corn_dry,Corn dry,GRAIN,Agriculture,750.0,690.0,800.0,,0.75,1,1,29.2,,,,0.2,0.03,mass_flow,5.0,60.0,1,Low,C1/2,,,,,,,,,,0.69,0.45,III,46C1/212O,O,0.82,derived,Agriculture — 46C1/212O,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
2,corn_wet,Corn wet,GRAIN,Agriculture,720.0,680.0,760.0,,0.72,2,2,35.0,,,,2.2,0.53,funnel_flow,22.0,60.0,1,Low,C1/2,,,,,,,,,,0.79,0.4,III,45C1/212U,U,0.82,derived,Agriculture — 45C1/212U,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
3,corn_fine,Corn fine,GRAIN,Agriculture,700.0,630.0,780.0,,0.7,2,2,32.8,,,,1.0,0.28,funnel_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.36,0.4,III,44C1/212X,X,0.82,derived,Agriculture — 44C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
4,corn_coarse,Corn coarse,GRAIN,Agriculture,710.0,630.0,800.0,,0.71,1,1,35.0,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.04,0.45,III,44C1/212X,X,0.82,derived,Agriculture — 44C1/212X,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
5,corn_screened,Corn screened,GRAIN,Agriculture,720.0,630.0,810.0,,0.72,2,2,35.0,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.64,0.4,III,44C1/212M,M,0.82,derived,Agriculture — 44C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
6,corn_crushed,Corn crushed,GRAIN,Agriculture,720.0,670.0,780.0,,0.72,2,2,35.0,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.11,0.4,III,45C1/212M,M,0.82,derived,Agriculture — 45C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
7,corn_pelletized,Corn pelletized,GRAIN,Agriculture,730.0,690.0,760.0,,0.73,1,1,44.5,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.15,0.45,III,45C1/212L,L,0.82,derived,Agriculture — 45C1/212L,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
8,corn_powder,Corn powder,GRAIN,Agriculture,720.0,670.0,780.0,,0.72,2,2,38.0,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.68,0.4,III,"45C1/212L,M","L,M",0.82,derived,"Agriculture — 45C1/212L,M","[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
9,corn_granular,Corn granular,GRAIN,Agriculture,700.0,610.0,780.0,,0.7,2,2,40.1,,,,2.4,0.55,funnel_flow,18.0,60.0,1,Low,C1/2,,,,,,,,,,1.3,0.4,III,43C1/212M,M,0.82,derived,Agriculture — 43C1/212M,"[""conv"", ""dry"", ""mix"", ""react"", ""feed"", ""sc""]",0
10,corn_raw,Corn raw,GRAIN,Agriculture,720.0,620.0,820.0,,0.72,1,1,39.8,,,,0.2,0.08,mass_flow,11.0,60.0,1,Low,C1/2,,,,,,,,,,1.05,0.45,III,44C1/212,,0.85,derived,Agriculture — 44C1/212,"[""conv"", ""dry"", ""mix"", ""feed"", ""sc""]",0
